id,observed_on,latitude,longitude,scientific_name,common_name
313004735,2025,36.23946167,-75.878425,Pyrus calleryana,Callery pear
313233429,2025,36.26113667,-75.88895333,Pyrus calleryana,Callery pear
313359051,2022,35.48668952,-79.21879649,Pyrus calleryana,Callery pear
313453632,2025,36.26085,-75.88957167,Pyrus calleryana,Callery pear
313546131,2025,35.30825997,-82.418441,Pyrus calleryana,Callery pear
313754991,2025,36.26034167,-75.88463667,Pyrus calleryana,Callery pear
313873547,2025,35.43708824,-80.87431721,Pyrus calleryana,Callery pear
313976092,2025,35.24395982,-78.25906073,Pyrus calleryana,Callery pear
313976127,2025,35.24392064,-78.25906623,Pyrus calleryana,Callery pear
314010277,2025,34.96832375,-78.96412577,Pyrus calleryana,Callery pear
314211291,2025,35.91004541,-79.04889582,Pyrus calleryana,Callery pear
314560831,2025,35.76037268,-78.68722775,Pyrus calleryana,Callery pear
314779710,2025,35.30082278,-80.72807245,Pyrus calleryana,Callery pear
314914892,2025,35.81787156,-78.4120165,Pyrus calleryana,Callery pear
315062984,2025,34.22540679,-77.94094485,Pyrus calleryana,Callery pear
315087858,2025,36.01679028,-78.88367208,Pyrus calleryana,Callery pear
315182518,2025,36.26031333,-75.88466667,Pyrus calleryana,Callery pear
315182549,2025,36.26031167,-75.88465833,Pyrus calleryana,Callery pear
315182567,2025,36.26024167,-75.88475833,Pyrus calleryana,Callery pear
315386883,2025,35.308225,-82.420524,Pyrus calleryana,Callery pear
316395167,2025,35.61384151,-82.56623318,Pyrus calleryana,Callery pear
316421309,2025,36.26037,-75.88478833,Pyrus calleryana,Callery pear
316826724,2025,35.76596167,-78.67604667,Pyrus calleryana,Callery pear
317019356,2025,35.1476695,-80.7452,Pyrus calleryana,Callery pear
317064580,2025,36.05299178,-79.99260838,Pyrus calleryana,Callery pear
317161728,2025,36.07248099,-79.81226055,Pyrus calleryana,Callery pear
317410226,2025,36.07271117,-79.81227167,Pyrus calleryana,Callery pear
